
RL-ILS_AM_HH,31150,SAT,3,8.0,15.0,6.0,10.0,4.0
RL-ILS_AM_HH,31150,SAT,11,11.0,10.0,11.0,12.0,10.0
RL-ILS_AM_HH,31150,TSP,0,49495.73005037166,49787.79912829152,49390.057421238314,49191.554171552736,49809.55769315664
RL-ILS_AM_HH,31150,TSP,6,56717.73517606543,55911.020056816225,61254.68654439658,59234.678436823604,60656.92563618636
RL-ILS_AM_HH,31150,BinPacking,7,0.07319102446043146,0.08001957020057293,0.07555333908045858,0.07760071449067352,0.07254168345323753
RL-ILS_AM_HH,31150,BinPacking,11,0.06792981462411207,0.06626685567011825,0.0689707153885879,0.0690937210499376,0.06797420185377323
RL-ILS_AM_HH,31150,SAT,3,8.0,15.0,6.0,10.0,4.0
RL-ILS_AM_HH,31150,SAT,11,11.0,10.0,11.0,12.0,10.0
RL-ILS_AM_HH,31150,TSP,0,49495.73005037166,49787.79912829152,49390.057421238314,49191.554171552736,49809.55769315664
RL-ILS_AM_HH,31150,TSP,6,56717.73517606543,55911.020056816225,61254.68654439658,59234.678436823604,60656.92563618636
RL-ILS_AM_HH,31150,BinPacking,7,0.07318023021582676,0.0775489899569578,0.07498745402298823,0.07760071449067352,0.07034734005763621
RL-ILS_AM_HH,31150,BinPacking,11,0.06791797116376197,0.06547472924189335,0.0681513388259658,0.06810993820804823,0.06795648815655375
